component_1based,train_explained_variance,train_explained_variance_ratio,train_cumulative_ratio
99,3.20531561117761e-06,5.217584240285139e-07,0.9999756916567336
100,3.076903897374742e-06,5.008556794791339e-07,0.9999761925124131
101,2.918506982129772e-06,4.75071970511133e-07,0.9999766675843836
102,2.8791648248504022e-06,4.686678891444234e-07,0.9999771362522728
103,2.8109001886434824e-06,4.575558323847096e-07,0.9999775938081051
104,2.7527600007292334e-06,4.480918243122829e-07,0.9999780418999294
105,2.6986911973591363e-06,4.392905525944177e-07,0.999978481190482
106,2.6628404319514077e-06,4.334547968909473e-07,0.999978914645279
107,2.5960532819895503e-06,4.2258324402796657e-07,0.9999793372285231
108,2.5475570225618777e-06,4.146890660562179e-07,0.9999797519175891
109,2.502426491220761e-06,4.073427583085514e-07,0.9999801592603474
110,2.4053793920323127e-06,3.9154551782698127e-07,0.9999805508058652
111,2.3394369402510374e-06,3.808114641824686e-07,0.9999809316173294
112,2.3045782860051014e-06,3.7513720345142237e-07,0.9999813067545328
113,2.2735939392849036e-06,3.7009359905318216e-07,0.9999816768481319
114,2.176592473762477e-06,3.5430378677917546e-07,0.9999820311519186
115,2.1167360789953723e-06,3.4456041608182337e-07,0.9999823757123347
116,2.067808308384485e-06,3.365959971035044e-07,0.9999827123083318
117,2.0124679148781814e-06,3.27587737074359e-07,0.9999830398960688
118,1.9578190820046444e-06,3.186920486698656e-07,0.9999833585881175
119,1.938137850152858e-06,3.1548835525567636e-07,0.9999836740764727
120,1.9213887877517447e-06,3.1276195777647474e-07,0.9999839868384305
121,1.9054854539466843e-06,3.1017322724585495e-07,0.9999842970116577
122,1.8844684023607482e-06,3.067520902835652e-07,0.999984603763748
123,1.8279697024508097e-06,2.975552821683609e-07,0.9999849013190302
124,1.8047674932131772e-06,2.937784471872467e-07,0.9999851950974774
125,1.7791685780849146e-06,2.8961147855314864e-07,0.999985484708956
126,1.7638778021532985e-06,2.87122459648292e-07,0.9999857718314157
127,1.7198253590390739e-06,2.799516421432292e-07,0.9999860517830578
128,1.7114897398245806e-06,2.785947774621072e-07,0.9999863303778352
129,1.6892594128909184e-06,2.7497614461793466e-07,0.9999866053539799
130,1.6815772292430089e-06,2.73725645597104e-07,0.9999868790796255
131,1.645883181660633e-06,2.679154002818425e-07,0.9999871469950258
132,1.6366455948735188e-06,2.664117141215581e-07,0.9999874134067399
133,1.6034474024925975e-06,2.6100774189590224e-07,0.9999876744144818
134,1.602312449922427e-06,2.608229953260811e-07,0.9999879352374771
135,1.5793861316465952e-06,2.5709106963032115e-07,0.9999881923285467
136,1.5683574571228723e-06,2.5529583180146134e-07,0.9999884476243786
137,1.5516978593443162e-06,2.5258399729393996e-07,0.9999887002083758
138,1.5411405715194523e-06,2.508654913726174e-07,0.9999889510738672
139,1.5336450891521915e-06,2.496453834201781e-07,0.9999892007192506
140,1.503623275365952e-06,2.4475845927674536e-07,0.9999894454777098
141,1.4916345081489123e-06,2.4280693841327907e-07,0.9999896882846483
142,1.4793451948582292e-06,2.408064949272837e-07,0.9999899290911433
143,1.457985035844039e-06,2.373295072430201e-07,0.9999901664206505
144,1.4476473245882638e-06,2.3564674380029834e-07,0.9999904020673943
145,1.4381872862164837e-06,2.3410684716893484e-07,0.9999906361742414
146,1.4314123330003334e-06,2.3300402631079577e-07,0.9999908691782677
147,1.423088457572215e-06,2.3164907327277366e-07,0.999991100827341
148,1.4142978041723467e-06,2.302181385317136e-07,0.9999913310454795
149,1.4074116332345966e-06,2.2909721375178174e-07,0.9999915601426933
150,1.3871696421508668e-06,2.258022404486174e-07,0.9999917859449338
151,1.3739436760627996e-06,2.2364932945342552e-07,0.9999920095942633
152,1.370902130530192e-06,2.2315422937711156e-07,0.9999922327484927
153,1.357369504577282e-06,2.2095140056189746e-07,0.9999924536998932
154,1.327229672175109e-06,2.1604526545314172e-07,0.9999926697451587
155,1.3193115201175282e-06,2.1475635570448091e-07,0.9999928845015144
156,1.3116363144642713e-06,2.135069925554128e-07,0.9999930980085069
157,1.29935027210283e-06,2.115070815083699e-07,0.9999933095155884
158,1.29754942830082e-06,2.1121394175614652e-07,0.9999935207295302
159,1.2797518456654445e-06,2.0831686708588056e-07,0.9999937290463973
160,1.2718057360470308e-06,2.070234064303359e-07,0.9999939360698037
161,1.2632788737471792e-06,2.0563541136989183e-07,0.9999941417052151
162,1.2540406270856916e-06,2.0413161779584392e-07,0.9999943458368329
163,1.2338662614701463e-06,2.0084765250623714e-07,0.9999945466844854
164,1.2245387336358493e-06,1.9932932582229573e-07,0.9999947460138112
165,1.2076875886513346e-06,1.9658631143097153e-07,0.9999949426001227
166,1.1989384529624679e-06,1.9516213490597788e-07,0.9999951377622576
167,1.1889651015796408e-06,1.9353868163927303e-07,0.9999953313009392
168,1.1809533903717445e-06,1.922345424153456e-07,0.9999955235354816
169,1.1715584549767372e-06,1.9070524318863145e-07,0.9999957142407248
170,1.1509585698470372e-06,1.873520122110143e-07,0.999995901592737
171,1.1337785427252742e-06,1.845554626779326e-07,0.9999960861481997
172,1.112543134519271e-06,1.8109878181925866e-07,0.9999962672469815
173,1.0994432227270036e-06,1.7896638983021055e-07,0.9999964462133714
174,1.0896270647474164e-06,1.7736852436586e-07,0.9999966235818957
175,1.0811115666555964e-06,1.7598237916109078e-07,0.9999967995642748
176,1.0599871587446944e-06,1.725437668317176e-07,0.9999969721080416
177,1.0513286799933513e-06,1.7113434736237384e-07,0.999997143242389
178,1.037238678754438e-06,1.6884078949389477e-07,0.9999973120831784
179,1.0094582405359306e-06,1.6431871447165238e-07,0.999997476401893
180,9.894886241178179e-07,1.6106807807427731e-07,0.9999976374699711
181,9.686823805049544e-07,1.5768125624632864e-07,0.9999977951512273
182,9.501191141446084e-07,1.5465954426039497e-07,0.9999979498107716
183,9.351003015362076e-07,1.5221479530337736e-07,0.9999981020255669
184,9.276284180011409e-07,1.5099852874785126e-07,0.9999982530240957
185,9.093419343221714e-07,1.480218712005912e-07,0.9999984010459669
186,9.005400471388277e-07,1.4658910783424959e-07,0.9999985476350748
187,8.956323018659821e-07,1.4579022942422228e-07,0.9999986934253042
188,8.682469948433914e-07,1.413324735065782e-07,0.9999988347577777
189,8.258213443093946e-07,1.3442646385067725e-07,0.9999989691842416
190,8.022234829905347e-07,1.305852249757172e-07,0.9999990997694665
191,7.902128567064136e-07,1.2863014591275524e-07,0.9999992283996124
192,7.440954582707459e-07,1.2112319681726545e-07,0.9999993495228092
193,7.289982860235062e-07,1.1866569254793928e-07,0.9999994681885017
194,6.908198578129627e-07,1.1245104196390507e-07,0.9999995806395436
195,6.760335100495808e-07,1.1004413342757991e-07,0.9999996906836771
196,6.632972485237427e-07,1.0797093610543076e-07,0.9999997986546132
197,6.278964429408484e-07,1.0220842446200331e-07,0.9999999008630377
198,6.090275457720196e-07,9.913696216492636e-08,0.9999999999999999
