pixel_id,success,status,message,iterations,objective_slsqp,objective_face,objective_face_minus_slsqp,max_abs_abundance_difference,slsqp_asc_error,slsqp_anc_violation
1332,True,0,Optimization terminated successfully,6,0.29950380388404785,0.2995038038840473,-5.551115123125783e-16,3.3306690738754696e-16,0.0,0
1403,True,0,Optimization terminated successfully,3,0.3180387710579717,0.31803877105819356,2.2187807147133753e-13,1.5942802633617248e-13,5.3290705182007514e-14,0
1426,True,0,Optimization terminated successfully,4,1.0872653192633464,1.0872653192633492,2.886579864025407e-15,2.3887505047797113e-15,1.7763568394002505e-15,0
1484,True,0,Optimization terminated successfully,6,0.004341343973976934,0.004341343973976933,-8.673617379884035e-19,1.1102230246251565e-16,0.0,0
1723,True,0,Optimization terminated successfully,4,0.30610767025970304,0.30610767025970387,8.326672684688674e-16,8.881784197001252e-16,2.220446049250313e-16,0
1727,True,0,Optimization terminated successfully,4,0.14487381207070568,0.14487381207070593,2.498001805406602e-16,3.4274116661927813e-16,4.440892098500626e-16,0
1808,True,0,Optimization terminated successfully,3,0.06430680958592827,0.06430680958592781,-4.579669976578771e-16,9.880984919163893e-15,2.220446049250313e-15,0
1983,True,0,Optimization terminated successfully,5,0.0044368660991110555,0.004436866099110964,-9.194034422677078e-17,1.9849953902806305e-09,0.0,0
1984,True,0,Optimization terminated successfully,4,0.003945354719501198,0.003945354719501198,0.0,1.1102230246251565e-16,0.0,0
2074,True,0,Optimization terminated successfully,4,0.017723712462469284,0.017723712462469298,1.3877787807814457e-17,1.1102230246251565e-16,2.220446049250313e-16,0
2117,True,0,Optimization terminated successfully,2,0.7721791862868842,0.7721791862869347,5.051514762044462e-14,1.940114735532461e-14,1.9317880628477724e-14,0
2324,True,0,Optimization terminated successfully,6,0.15863848945284184,0.15863848945282044,-2.1399548799649892e-14,3.4850769169841866e-08,0.0,0
2447,True,0,Optimization terminated successfully,6,0.0516728606497337,0.05167286064973369,-6.938893903907228e-18,1.1102230246251565e-16,0.0,0
